controller,scenario,run,MAP RMSE (mmHg),Flow RMSE (L/min),Settling time (s),Unsafe event rate (%)
PI control,HF severity change,3,8.81021223719019,0.8159205074006073,18.78449439778577,14.016364153462083
PI control,HF severity change,4,6.6419483631783605,0.7461732935764028,14.723349774767588,10.528578194411194
PI control,HF severity change,5,9.815680642378343,0.8063063325426661,16.90456575380643,11.198289057638643
PI control,HF severity change,6,9.641290091904079,0.8314501941525653,20.120845451521227,11.25418105496002
PI control,HF severity change,7,7.576970141166714,0.8108233141702555,18.56479086021536,13.481049202246437
PI control,HF severity change,8,10.2405144753255,0.9453940950991147,19.972995708708655,13.814719726528077
PI control,HF severity change,9,8.473012844183476,0.7265313492990166,14.408081752371178,10.39461855723895
PI control,HF severity change,10,8.787417800127242,0.7952272972420267,19.8522709189055,10.608299110306183
PI control,HF severity change,11,7.261991137395846,0.7634177871749813,12.70767902643934,9.891944438713479
PI control,HF severity change,12,7.984148507485674,0.9867500858541868,18.36436748708739,13.270588592175017
